Comune,Provincia,Regione,Codice isil,Denominazione,Tipologia funzionale,Denominazione ente,Tipologia amministrativa,miovalore,deleted                                                                                      
84025,84,19,IT-AG0064,Biblioteca comunale,Importante non specializzata,Comune di Montevago,Comune,10,false                                                                                                                 
84027,84,19,IT-AG0065,Biblioteca comunale Giovanni Falcone,Importante non specializzata,Comune di Palma di Montechiaro,Comune,12,false                                                                                     
84028,84,19,IT-AG0066,Biblioteca comunale,Pubblica,Comune di Porto Empedocle,Comune,10,false                                                                                                                               
84029,84,19,IT-AG0067,Biblioteca comunale,Pubblica,Comune di Racalmuto,Comune,11,false                                                                                                                                     
84029,84,19,IT-AG0068,Biblioteca popolare Virtus Matrice,Pubblica,Chiesa Madre di Racalmuto,Enti ecclesiastici,15,false                                                                                                    
84030,84,19,IT-AG0069,Biblioteca comunale,Pubblica,Comune di Raffadali,Comune,15,false                                                                                                                                     
84031,84,19,IT-AG0070,Biblioteca comunale,Pubblica,Comune di Ravanusa,Comune,14,false                                                                                                                                      
84033,84,19,IT-AG0071,Biblioteca comunale Antonio Gramsci,Pubblica,Comune di Ribera,Comune,10,false                                                                                                                        
84037,84,19,IT-AG0072,Biblioteca comunale,Pubblica,Comune di Santa Elisabetta,Comune,10,false                                                                                                                              
84001,84,19,IT-AG0078,Biblioteca della Provincia regionale di Agrigento,Specializzata,Provincia di Agrigento,Provincia,15,false                                                                                            
84001,84,19,IT-AG0079,Biblioteca comunale Santo Spirito. Sezione esterna di Fontanelle,Pubblica,Comune di Agrigento,Comune,19,false                                                                                        
84001,84,19,IT-AG0085,Biblioteca Lucchesiana,Importante non specializzata,Deputazione dei canonici della biblioteca Lucchesiana,Accademie,19,false                                                                         
84001,84,19,IT-AG0087,Biblioteca dell'Opera Pia Villa Betania,Pubblica,Opera Pia Villa Betania,Accademie,10,false                                                                                                          
84021,84,19,IT-AG0089,Biblioteca comunale L. Vitali,Importante non specializzata,Comune di Licata,Comune,20,false                                                                                                          
84010,84,19,IT-AG0090,Biblioteca comunale,Pubblica,Comune di Campobello di Licata,Comune,17,false                                                                                                                          
84001,84,19,IT-AG0091,Biblioteca Museo Luigi Pirandello,Specializzata,Regione siciliana,Regione,11,false                                                                                                                   
84017,84,19,IT-AG0092,Biblioteca della Comunità Cristiani nel mondo,NON SPECIFICATA,0,NON SPECIFICATA,17,false                                                                                                             
84029,84,19,IT-AG0093,Biblioteca della Fondazione Leonardo Sciascia,Specializzata,Fondazione Leonardo Sciascia,Accademie,13,false                                                                                          
84001,84,19,IT-AG0094,Biblioteca Verba volant,Scolastica,Ministero dell'istruzione,Presidenza del consiglio dei ministri e ministeri,16,false                                                                              
84001,84,19,IT-AG0095,Biblioteca dell'Istituto Comprensivo Anna Frank,Scolastica,Ministero dell'istruzione,Presidenza del consiglio dei ministri e ministeri,17,false                                                      
84001,84,19,IT-AG0096,Biblioteca del Circolo didattico S.G. Bosco,NON SPECIFICATA,0,NON SPECIFICATA,16,false                                                                                                               
84001,84,19,IT-AG0097,Biblioteca dell'Istituto professionale per i servizi commerciali e turistici Nicolò Gallo,Scolastica,Ministero dell'istruzione,Presidenza del consiglio dei ministri e ministeri,18,false            
84008,84,19,IT-AG0098,Biblioteca comunale,Pubblica,Comune di Camastra,Comune,14,false                                                                                                                                      
84011,84,19,IT-AG0099,Biblioteca della Fondazione Giovanni Guarino Amella,Specializzata,Fondazione Giovanni Guarino Amella,Accademie,10,false                                                                              
84001,84,19,IT-AG0134,Biblioteca del Polo didattico di Agrigento. Università degli studi di Palermo,Istituto di insegnamento superiore,Università degli studi di Palermo,Universita' statali,11,false                      
6001,6,1,IT-AL0001,Biblioteca civica,Pubblica,Comune di Acqui Terme,Comune,12,false                                                                                                                                        
6003,6,1,IT-AL0002,Biblioteca civica Francesca Calvo,Importante non specializzata,Comune di Alessandria,Comune,11,false                                                                                                    
6003,6,1,IT-AL0003,Biblioteca dell'Archivio di Stato di Alessandria,Specializzata,Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Alessandria,Direzione generale per gli archivi,19,false
6003,6,1,IT-AL0004,Biblioteca storica diocesana del Seminario vescovile,Importante non specializzata,Seminario Diocesano,Enti ecclesiastici,10,false                                                                       
6003,6,1,IT-AL0006,Biblioteca delle Societa' di storia arte e archeologia per le province di Alessandria e Asti,Specializzata,Societa' di storia,Accademie,15,false                                                        
6003,6,1,IT-AL0007,Biblioteca della Camera di commercio industria artigianato e agricoltura - CCIAA,Specializzata,Camera di commercio,Camere di commercio,15,false                                                         
6004,6,1,IT-AL0008,Biblioteca civica,Pubblica,Comune di Alfiano Natta,Comune,12,false                                                                                                                                      
6009,6,1,IT-AL0011,Biblioteca civica,Pubblica,Comune di Arquata Scrivia,Comune,17,false                                                                                                                                    
6013,6,1,IT-AL0013,Biblioteca civica,Pubblica,Comune di Bassignana,Comune,11,false                                                                                                                                         
6017,6,1,IT-AL0014,Biblioteca civica,Pubblica,Comune di Bistagno,Comune,10,false                                                                                                                                           
6018,6,1,IT-AL0015,Biblioteca civica,Pubblica,Comune di Borghetto di Borbera,Comune,15,false                                                                                                                               
6021,6,1,IT-AL0016,Biblioteca civica Pio e Ildegarda Occella,Pubblica,Comune di Bosco Marengo,Comune,11,false                                                                                                              
6022,6,1,IT-AL0017,Biblioteca civica,Pubblica,Comune di Bosio,Comune,16,false                                                                                                                                              
6033,6,1,IT-AL0020,Biblioteca civica Ferrero,Pubblica,Comune di Carpeneto,Comune,12,false                                                                                                                                  
6037,6,1,IT-AL0021,Biblioteca civica Fedele Barco,Pubblica,Comune di Casal Cermelli,Comune,20,false                                                                                                                        
6039,6,1,IT-AL0024,Biblioteca del Seminario vescovile,Importante non specializzata,"Fondazione Biblioteca del Seminario""""",Enti ecclesiastici,14,false                                                                   
6042,6,1,IT-AL0026,Biblioteca civica,Pubblica,Comune di Cassano Spinola,Comune,13,false                                                                                                                                    
6043,6,1,IT-AL0027,Biblioteca civica,Pubblica,Comune di Cassine,Comune,20,false                                                                                                                                            
6046,6,1,IT-AL0029,Biblioteca civica,Pubblica,Comune di Castellar Guidobono,Comune,20,false                                                                                                                                
6047,6,1,IT-AL0030,Biblioteca civica Francesco Poggio,Pubblica,Comune di Castellazzo Bormida,Comune,13,false                                                                                                               
6049,6,1,IT-AL0031,Biblioteca civica,Pubblica,Comune di Castelletto d'Orba,Comune,12,false                                                                                                                                 
6052,6,1,IT-AL0032,Biblioteca civica,Pubblica,Comune di Castelnuovo Bormida,Comune,12,false                                                                                                                                
6053,6,1,IT-AL0033,Biblioteca civica Pier Angelo Soldini,Pubblica,Comune di Castelnuovo Scrivia,Comune,15,false                                                                                                            
6054,6,1,IT-AL0034,Biblioteca civica,Pubblica,Comune di Castelspina,Comune,12,false                                                                                                                                        
6056,6,1,IT-AL0036,Biblioteca civica,Pubblica,Comune di Cella Monte,Comune,18,false                                                                                                                                        
6057,6,1,IT-AL0037,Biblioteca civica,Pubblica,Comune di Cereseto,Comune,10,false                                                                                                                                           
6061,6,1,IT-AL0038,Biblioteca civica,Pubblica,Comune di Conzano,Comune,10,false                                                                                                                                            
6073,6,1,IT-AL0039,Biblioteca civica,Pubblica,Comune di Frassineto Po,Comune,12,false                                                                                                                                      
6075,6,1,IT-AL0040,Biblioteca civica,Pubblica,Comune di Frugarolo,Comune,16,false                                                                                                                                          
6076,6,1,IT-AL0041,Biblioteca civica,Pubblica,Comune di Fubine,Comune,12,false                                                                                                                                             
6077,6,1,IT-AL0042,Biblioteca civica Giovanni Canna,Pubblica,Comune di Gabiano,Comune,19,false                                                                                                                             
6081,6,1,IT-AL0046,Biblioteca civica Giuseppe Boffito,Pubblica,Comune di Gavi,Comune,20,false                                                                                                                              
6082,6,1,IT-AL0047,Biblioteca civica,Pubblica,Comune di Giarole,Comune,10,false                                                                                                                                            
6094,6,1,IT-AL0048,Biblioteca civica,Pubblica,Comune di Mirabello Monferrato,Comune,18,false                                                                                                                               
6095,6,1,IT-AL0049,Biblioteca del Santuario di Nostra Signora delle Rocche,Specializzata,Passionisti. Santuario di Nostra Signora delle Rocche,Enti ecclesiastici,13,false                                                 
6095,6,1,IT-AL0050,Biblioteca civica,Pubblica,Comune di Molare,Comune,18,false                                                                                                                                             
6104,6,1,IT-AL0053,Biblioteca civica,Pubblica,Comune di Montaldo Bormida,Comune,19,false                                                                                                                                   
6106,6,1,IT-AL0054,Biblioteca civica,Pubblica,Comune di Montechiaro d'Acqui,Comune,14,false                                                                                                                                
99999,99,99,IT-NEW001,Nuova Biblioteca,Specializzata,Nuova Fondazione,Nuova Categoria,20,false
